Vcontrol	freq
0.04	1.0003559919
0.04	1.0003663350
0.04	1.0003766874
0.04	1.0003870491
0.04	1.0003974201
0.04	1.0004078003
0.04	1.0004181898
0.04	1.0004285884
0.04	1.0004389962
0.04	1.0004494132
0.05	1.0004598393
0.05	1.0004702746
0.05	1.0004807189
0.05	1.0004911723
0.05	1.0005016348
0.05	1.0005121063
0.05	1.0005225868
0.05	1.0005330762
0.05	1.0005435747
0.05	1.0005540821
0.06	1.0005645984
0.06	1.0005751236
0.06	1.0005856578
0.06	1.0005962007
0.06	1.0006067525
0.06	1.0006173131
0.06	1.0006278825
0.06	1.0006384607
0.06	1.0006490476
0.06	1.0006596432
0.07	1.0006702476
0.07	1.0006808606
0.07	1.0006914823
0.07	1.0007021126
0.07	1.0007127515
0.07	1.0007233990
0.07	1.0007340550
0.07	1.0007447196
0.07	1.0007553928
0.07	1.0007660744
0.08	1.0007767645
0.08	1.0007874630
0.08	1.0007981699
0.08	1.0008088853
0.08	1.0008196090
0.08	1.0008303411
0.08	1.0008410815
0.08	1.0008518303
0.08	1.0008625873
0.08	1.0008733525
0.09	1.0008841260
0.09	1.0008949077
0.09	1.0009056976
0.09	1.0009164957
0.09	1.0009273019
0.09	1.0009381162
0.09	1.0009489386
0.09	1.0009597690
0.09	1.0009706075
0.09	1.0009814540
0.10	1.0009923085
0.10	1.0010031710
0.10	1.0010140414
0.10	1.0010249197
0.10	1.0010358059
0.10	1.0010467000
0.10	1.0010576019
0.10	1.0010685116
0.10	1.0010794292
0.10	1.0010903545
0.11	1.0011012875
0.11	1.0011122282
0.11	1.0011231766
0.11	1.0011341327
0.11	1.0011450964
0.11	1.0011560678
0.11	1.0011670467
0.11	1.0011780332
0.11	1.0011890272
0.11	1.0012000287
0.12	1.0012110377
0.12	1.0012220541
0.12	1.0012330780
0.12	1.0012441093
0.12	1.0012551479
0.12	1.0012661939
0.12	1.0012772472
0.12	1.0012883079
0.12	1.0012993757
0.12	1.0013104509
0.13	1.0013215332
0.13	1.0013326227
0.13	1.0013437194
0.13	1.0013548232
0.13	1.0013659342
0.13	1.0013770522
0.13	1.0013881772
0.13	1.0013993093
0.13	1.0014104484
0.13	1.0014215944
0.14	1.0014327474
0.14	1.0014439073
0.14	1.0014550741
0.14	1.0014662478
0.14	1.0014774282
0.14	1.0014886155
0.14	1.0014998096
0.14	1.0015110104
0.14	1.0015222179
0.14	1.0015334321
0.15	1.0015446530
0.15	1.0015558805
0.15	1.0015671146
0.15	1.0015783553
0.15	1.0015896025
0.15	1.0016008563
0.15	1.0016121165
0.15	1.0016233832
0.15	1.0016346563
0.15	1.0016459359
0.16	1.0016572218
0.16	1.0016685140
0.16	1.0016798126
0.16	1.0016911175
0.16	1.0017024286
0.16	1.0017137459
0.16	1.0017250695
0.16	1.0017363992
0.16	1.0017477350
0.16	1.0017590770
0.17	1.0017704250
0.17	1.0017817791
0.17	1.0017931392
0.17	1.0018045053
0.17	1.0018158774
0.17	1.0018272554
0.17	1.0018386393
0.17	1.0018500290
0.17	1.0018614246
0.17	1.0018728260
0.18	1.0018842332
0.18	1.0018956461
0.18	1.0019070648
0.18	1.0019184891
0.18	1.0019299191
0.18	1.0019413547
0.18	1.0019527959
0.18	1.0019642427
0.18	1.0019756950
0.18	1.0019871528
0.19	1.0019986161
0.19	1.0020100848
0.19	1.0020215589
0.19	1.0020330384
0.19	1.0020445232
0.19	1.0020560134
0.19	1.0020675088
0.19	1.0020790095
0.19	1.0020905154
0.19	1.0021020264
0.20	1.0021135427
0.20	1.0021250640
0.20	1.0021365905
0.20	1.0021481220
0.20	1.0021596585
0.20	1.0021712000
0.20	1.0021827465
0.20	1.0021942979
0.20	1.0022058542
0.20	1.0022174153
0.21	1.0022289813
0.21	1.0022405521
0.21	1.0022521277
0.21	1.0022637079
0.21	1.0022752929
0.21	1.0022868826
0.21	1.0022984768
0.21	1.0023100757
